Station,City,Date,Avg_Temp
USR0000MPLN,"PLAINS MONTANA, MT US",1/2/21,42
USR0000MHOT,"HOT SPRINGS MONTANA, MT US",1/2/21,41
USR0000MKIN,"KING COULEE MONTANA, MT US",1/2/21,41
USR0000MLIT,"LITTLE BULLWACKER CREEK MONTAN, MT US",1/2/21,41
USR0000MSTE,"STEVI MONTANA, MT US",1/2/21,41
USR0000MSSC,"SOUTH SAWMILL CREEK MONTANA, MT US",1/2/21,41
USW00024137,"CUT BANK AIRPORT, MT US",1/2/21,40
USR0000MMAC,"MANNING CORRAL DOGTOWN MONTANA, MT US",1/2/21,40
USR0000MHUN,"HUNGRY HORSE MONTANA, MT US",1/2/21,40
USR0000MEUR,"EUREKA MONTANA, MT US",1/2/21,39
USS0009A01S,"ROCKY BOY, MT US",1/2/21,39
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",1/2/21,39
USR0000MBRO,"BROWNING BFA MONTANA, MT US",1/2/21,39
USR0000MTHO,"THOMPSON FALLS AIRPORT MONTANA, MT US",1/2/21,38
USR0000MGLE,"GLEASON MONTANA, MT US",1/2/21,38
USR0000MBAP,"BADGER PEAK MONTANA, MT US",1/2/21,38
USR0000MSOD,"SODA SPRINGS MONTANA, MT US",1/2/21,38
USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1/2/21,38
USR0000MFIS,"FISHTAIL MONTANA, MT US",1/2/21,37
USR0000MTRY,"TROY MONTANA, MT US",1/2/21,37
USR0000MJET,"JETTE MONTANA, MT US",1/2/21,37
USR0000MWEG,"WEST GLACIER MONTANA, MT US",1/2/21,37
USR0000MWOL,"WOLF MOUNTAIN MONTANA, MT US",1/2/21,36
USR0000MCBT,"CABINET TROUT CREEK MONTANA, MT US",1/2/21,36
USR0000MCON,"CONDON WORK CENTER MONTANA, MT US",1/2/21,36
USR0000MPIN,"PINE HILL MONTANA, MT US",1/2/21,36
USR0000MLIS,"LITTLE SNOWY MONTANA, MT US",1/2/21,36
USR0000MBSM,"BIG SHEEP MOUNTAIN MONTANA, MT US",1/2/21,36
USR0000MPOL,"POLEBRIDGE MONTANA, MT US",1/2/21,36
USR0000MSTM,"ST. MARY MONTANA, MT US",1/2/21,36
USR0000MNIN,"NINE MILE MONTANA, MT US",1/2/21,36
USR0000MGIN,"GINGER MONTANA, MT US",1/2/21,36
USS0013B22S,"KRAFT CREEK, MT US",1/2/21,36
USS0013A27S,"MANY GLACIER, MT US",1/2/21,36
USS0012B13S,"WALDRON, MT US",1/2/21,36
USR0000MHEL,"HELENA MONTANA, MT US",1/2/21,36
USS0012A02S,"DUPUYER CREEK, MT US",1/2/21,36
USR0000MPAR,"PARDEE MONTANA, MT US",1/2/21,35
USR0000MBEN,"BENCHMARK MONTANA, MT US",1/2/21,35
USS0014A11S,"GRAVE CREEK, MT US",1/2/21,35
USS0009D21S,"BURNT MOUNTAIN, MT US",1/2/21,35
USR0000MBOO,"BOORMAN MONTANA, MT US",1/2/21,35
USW00024144,"HELENA AIRPORT ASOS, MT US",1/2/21,35
USW00094008,"GLASGOW INTERNATIONAL AIRPORT, MT US",1/2/21,35
USR0000MSTR,"ST. REGIS MONTANA, MT US",1/2/21,35
USR0000MWHH,"WHITEHALL MONTANA, MT US",1/2/21,35
USS0013A24S,"EMERY CREEK, MT US",1/2/21,35
USS0012B16S,"COPPER BOTTOM, MT US",1/2/21,35
USR0000MLNC,"LINCOLN MONTANA, MT US",1/2/21,35
USS0013C33S,"COMBINATION, MT US",1/2/21,35
USS0015A05S,"GARVER CREEK, MT US",1/2/21,34
USR0000MPHL,"PHILIPSBURG MONTANA, MT US",1/2/21,34
USR0000MDPC,"DEEP CREEK BFA MONTANA, MT US",1/2/21,34
USR0000MLIB,"LIBBY MONTANA, MT US",1/2/21,34
USS0013C38S,"LUBRECHT FLUME, MT US",1/2/21,34
USR0000MPOP,"POPLAR MONTANA, MT US",1/2/21,34
USR0000MWEF,"WEST FORK MONTANA, MT US",1/2/21,34
USS0013B25S,"BISSON CREEK, MT US",1/2/21,34
USS0015A12S,"POORMAN CREEK, MT US",1/2/21,33
USR0000MDER,"DERBY MOUNTAIN MONTANA, MT US",1/2/21,33
USR0000MWSS,"WHITE SULPHUR SPRING MONTANA, MT US",1/2/21,33
USS0010D39S,"EAST BOULDER MINE, MT US",1/2/21,33
USR0000MPRY,"PRYOR MOUNTAIN MONTANA, MT US",1/2/21,33
USR0000MYAA,"YAAK UPPER FORD MONTANA, MT US",1/2/21,33
USR0000MSTW,"STILLWATER MONTANA, MT US",1/2/21,33
USS0014A14S,"HAND CREEK, MT US",1/2/21,33
USS0012B17S,"WOOD CREEK, MT US",1/2/21,33
USR0000MKNO,"KNOWLTON MONTANA, MT US",1/2/21,33
USS0009C01S,"CRYSTAL LAKE, MT US",1/2/21,32
USR0000MBCB,"BC BALDY MONTANA, MT US",1/2/21,32
USR0000MSEE,"SEELEY LAKE MONTANA, MT US",1/2/21,32
USR0000MMED,"MEDICINE LAKE MONTANA, MT US",1/2/21,32
USR0000MBLU,"BLUFF CREEK MONTANA, MT US",1/2/21,32
USS0014C13S,"TWELVEMILE CREEK, MT US",1/2/21,32
USS0012B12S,"MOUNT LOCKHART, MT US",1/2/21,32
USR0000MFOU,"FOUR MILE MONTANA, MT US",1/2/21,31
USS0010C03S,"PORCUPINE, MT US",1/2/21,31
USS0010D10S,"SACAJAWEA, MT US",1/2/21,31
USW00024135,"BUTTE BERT MOONEY AIRPORT, MT US",1/2/21,31
USR0000MSMI,"SMITH CREEK MONTANA, MT US",1/2/21,31
USS0013C39S,"DALY CREEK, MT US",1/2/21,31
USR0000MLIH,"LITTLE BIGHORN MONTANA, MT US",1/2/21,31
USR0000MSTI,"STINKWATER CREEK MONTANA, MT US",1/2/21,31
USS0012C13S,"FROHNER MEADOW, MT US",1/2/21,31
USR0000MBRA,"BRADSHAW CREEK MONTANA, MT US",1/2/21,31
USR0000MLRC,"LITTLE ROCK CREEK MONTANA, MT US",1/2/21,31
USS0015A08S,"BANFIELD MOUNTAIN, MT US",1/2/21,31
USS0013A26S,"PIKE CREEK, MT US",1/2/21,31
USS0009D16S,"COLE CREEK, MT US",1/2/21,31
USR0000MTIM,"TIMBERCREST MONTANA, MT US",1/2/21,30
USS0011C04S,"TIZER BASIN, MT US",1/2/21,30
USR0000MSQU,"SHENANGO MONTANA, MT US",1/2/21,30
USR0000MENN,"ENNIS MONTANA, MT US",1/2/21,30
USS0014D02S,"NEZ PERCE CAMP, MT US",1/2/21,30
USS0013B07S,"NORTH FORK JOCKO, MT US",1/2/21,30
USS0014B04S,"BLACKTAIL MOUNTAIN, MT US",1/2/21,30
USS0014B05S,"SLEEPING WOMAN, MT US",1/2/21,30
USR0000MFOH,"FORT HOWES MONTANA, MT US",1/2/21,29
USS0011C02S,"PICKFOOT CREEK, MT US",1/2/21,29
USS0014A12S,"STAHL PEAK, MT US",1/2/21,29
USS0015C10S,"HOODOO BASIN, MT US",1/2/21,29
USS0010C09S,"DEADMAN CREEK, MT US",1/2/21,29
USS0013C36S,"PETERSON MEADOWS, MT US",1/2/21,29
USS0013A19S,"FLATTOP MOUNTAIN, MT US",1/2/21,29
USS0013A25S,"NOISY BASIN, MT US",1/2/21,29
USS0013C31S,"N FK ELK CREEK, MT US",1/2/21,29
USS0014C12S,"TWIN LAKES, MT US",1/2/21,29
USS0013A15S,"BADGER PASS, MT US",1/2/21,29
USS0015A03S,"HAWKINS LAKE, MT US",1/2/21,28
USR0000MGAL,"GALENA MONTANA, MT US",1/2/21,28
USS0013C13S,"BLACK PINE, MT US",1/2/21,28
USS0013D26S,"CALVERT CREEK, MT US",1/2/21,28
USS0013B24S,"MOSS PEAK, MT US",1/2/21,28
USS0010D35S,"BRACKETT CREEK, MT US",1/2/21,27
USS0010C23S,"STRINGER CREEK, MT US",1/2/21,27
USW00024138,"DILLON AIRPORT, MT US",1/2/21,27
USR0000MTPT,"TEPEE POINT MONTANA, MT US",1/2/21,27
USS0012D09S,"BASIN CREEK, MT US",1/2/21,27
USS0012C22S,"NEVADA RIDGE, MT US",1/2/21,27
