Title,Genre,Premiere,Runtime,IMDB Score,Language
The Land of Steady Habits,Drama,14-Sep-18,98,6.2,English
The Rachel Divide,Documentary,27-Apr-18,104,6.2,English
Voyuer ,Documentary,1-Dec-17,95,6.2,English
Win It All,Comedy,7-Apr-17,88,6.2,English
6 Underground,Action,13-Dec-19,128,6.1,English
Between Two Ferns: The Movie,Comedy,20-Sep-19,82,6.1,English
Burning Sands,Drama,10-Mar-17,102,6.1,English
Casting JonBenet,Documentary,28-Apr-17,80,6.1,English
Deidra & Laney Rob a Train,Drama,17-Mar-17,94,6.1,English
Finding 'Ohana,Family,29-Jan-21,123,6.1,English
Holidate,Romantic comedy/Holiday,28-Oct-20,104,6.1,English
Holiday in the Wild,Adventure-romance,1-Nov-19,85,6.1,English
Hot Girls Wanted,Documentary,29-May-15,84,6.1,English
Like Father,Comedy,3-Aug-18,103,6.1,English
Lost Girls,Crime drama,13-Mar-20,95,6.1,English
Otherhood,Comedy,2-Aug-19,100,6.1,English
Pee-wee's Big Holiday,Adventure,18-Mar-16,89,6.1,English
Rogue City,Crime drama,30-Oct-20,116,6.1,French
Sergio,Biopic,17-Apr-20,118,6.1,English
Stuck Apart,Drama,8-Jan-21,96,6.1,Turkish
Tersanjung the Movie,Drama,1-Apr-21,114,6.1,Indonesian
The Killer,Western,10-Nov-17,99,6.1,Portuguese
The Lovebirds,Romantic comedy,22-May-20,87,6.1,English
The Most Hated Woman in America,Biopic,24-Mar-17,92,6.1,English
The Perfection,Horror-thriller,24-May-19,90,6.1,English
Tribhanga ñ Tedhi Medhi Crazy,Drama,15-Jan-21,95,6.1,Hindi
Unknown Origins,Thriller,28-Aug-20,96,6.1,Spanish
Work It,Dance comedy,7-Aug-20,93,6.1,English
Come Sunday,Biopic,13-Apr-18,106,6,English
Forgive Us Our Debts,Drama,4-May-18,104,6,Italian
iBoy,Science fiction/Thriller,27-Jan-17,90,6,English
Lovefucked,Drama,9-Aug-19,106,6,Hindi
Juanita,Drama,8-Mar-19,90,6,English
Murder Mystery,Comedy mystery,14-Jun-19,97,6,English
Project Power,Superhero,14-Aug-20,113,6,English
Rebecca,Romantic thriller,21-Oct-20,123,6,English
The Christmas Chronicles: Part Two,Christmas comedy,25-Nov-20,115,6,English
The Kissing Booth,Romantic comedy,11-May-18,105,6,English
The Princess Switch,Romantic comedy,16-Nov-18,101,6,English
To All the Boys: P.S. I Still Love You,Romantic comedy,12-Feb-20,102,6,English
War Machine,War-Comedy,26-May-17,122,6,English
6 Balloons,Drama,6-Apr-18,75,5.9,English
A Fall from Grace,Thriller,17-Jan-20,120,5.9,English
Amateur,Sports-drama,6-Apr-18,96,5.9,English
Army of the Dead,Zombie/Heist,21-May-21,148,5.9,English
Cam,Psychological horror,16-Nov-18,94,5.9,English
Earthquake Bird,Mystery,15-Nov-19,107,5.9,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,16-Jul-19,32,5.9,English
Horse Girl,Drama,7-Feb-20,104,5.9,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,28-Sep-18,23,5.9,English
Maska,Romantic comedy,27-Mar-20,111,5.9,Hindi
The Decline,Thriller,27-Mar-20,83,5.9,French
The Minimalists: Less Is Now,Documentary,1-Jan-21,53,5.9,English
The Polka King,Comedy-drama,12-Jan-18,95,5.9,English
The Prom,Musical,11-Dec-20,132,5.9,English
True Memoirs of an International Assassin,Action comedy,11-Nov-16,98,5.9,English
Ultras,Sports film,20-Mar-20,108,5.9,Italian
15-Aug,Comedy-drama,29-Mar-19,124,5.8,Marathi
A California Christmas,Romantic comedy,14-Dec-20,107,5.8,English
A Christmas Prince,Romantic comedy,17-Nov-17,92,5.8,English
All Day and a Night,Drama,1-May-20,121,5.8,English
American Son,Drama,1-Nov-19,90,5.8,English
Barry,Biopic,16-Dec-16,104,5.8,English
Candy Jar,Comedy,27-Apr-18,92,5.8,English
Choked: Paisa Bolta Hai,Drama,5-Jun-20,114,5.8,Hindi
Class of '83,Drama,21-Aug-20,98,5.8,Hindi
Extinction,Science fiction/Thriller,27-Jul-18,95,5.8,English
Happy Anniversary,Romantic comedy,30-Mar-18,78,5.8,English
I Am All Girls,Thriller,14-May-21,107,5.8,English
Let It Snow,Romantic comedy,8-Nov-19,92,5.8,English
Mascots,Mockumentary,13-Oct-16,95,5.8,English
Operation Christmas Drop,Romantic comedy,5-Nov-20,96,5.8,English
Rajma Chawal,Comedy-drama,30-Nov-18,118,5.8,Hindi
Rich in Love,Romantic comedy,30-Apr-20,105,5.8,Portuguese
Rising High,Satire,17-Apr-20,94,5.8,German
Rodney King,One-man show,28-Apr-17,52,5.8,English
Sierra Burgess Is a Loser,Romantic comedy-drama,7-Sep-18,105,5.8,English
Small Crimes,Dark comedy,28-Apr-17,95,5.8,English
Special Correspondents,Satire,29-Apr-16,100,5.8,English
TAU,Science fiction/Thriller,29-Jun-18,97,5.8,English
The After Party,Comedy,24-Aug-18,89,5.8,English
The Babysitter: Killer Queen,Comedy/Horror,10-Sep-20,102,5.8,English
The Claus Family,Fantasy,7-Dec-20,96,5.8,Dutch
The Kissing Booth 2,Romantic comedy,24-Jul-20,131,5.8,English
The Perfect Date,Romantic comedy,12-Apr-19,89,5.8,English
What We Wanted,Drama,11-Nov-20,93,5.8,German
You've Got This,Romantic comedy,2-Oct-20,111,5.8,Spanish
